Question,Topic,Type,Priority,Active,Option1,Option2,Option3,Option4,Option5,Ronald,Pria,Marcus,Linda,Carla,Ian
A community receives an unexpected budget surplus. How should it be used?,economy,pick_1_4,Essential,TRUE,Distribute equally to all residents,Invest in projects that benefit most people,Reward highest taxpayers with rebates,Fund competitive grants for improvements,,Distribute equally to all residents,Invest in projects that benefit most people,Reward highest taxpayers with rebates,Fund competitive grants for improvements,Invest in projects that benefit most people,Distribute equally to all residents
A hospital has limited resources and must prioritize patient care. What principle should guide decisions?,healthcare,pick_1_4,Essential,TRUE,First-come first-served,Greatest medical need,Social contribution and value,Ability to pay for care,,Greatest medical need,Greatest medical need,First-come first-served,Social contribution and value,Ability to pay for care,Greatest medical need
When it comes to taxation I believe in policies that prioritize...,economy,pick_1_3,Essential,TRUE,Shared prosperity and equality,Economic growth and opportunity,Individual responsibility and merit,,,Shared prosperity and equality,Shared prosperity and equality,Economic growth and opportunity,Individual responsibility and merit,Individual responsibility and merit,Economic growth and opportunity
Climate change solutions should focus on...,environment,pick_1_3,Essential,TRUE,Government regulations and collective action,Individual lifestyle changes and education,Market-based solutions and innovation,,,Government regulations and collective action,Government regulations and collective action,Individual lifestyle changes and education,Market-based solutions and innovation,Individual lifestyle changes and education,Market-based solutions and innovation
Education funding should be designed to...,education,pick_1_3,Essential,TRUE,Ensure equal outcomes for all students,Provide equal opportunities with varied outcomes,Reward excellence and create competitive advantage,,,Ensure equal outcomes for all students,Provide equal opportunities with varied outcomes,Provide equal opportunities with varied outcomes,Reward excellence and create competitive advantage,Reward excellence and create competitive advantage,Provide equal opportunities with varied outcomes
Communities should support new businesses and economic development.,economy,agree_5,Additional,FALSE,,,,,3,4,4,5,2,3
The most important social priority should be...,general,pick_1_2,Additional,FALSE,Reducing inequality,Promoting individual success,,,,Reducing inequality,Reducing inequality,Promoting individual success,Promoting individual success,Promoting individual success,Reducing inequality
What are your top priorities for society?,general,multiple_choice,Additional,FALSE,Ensuring equal access to services,Building community solidarity,Protecting individual rights,Promoting economic competition,Maintaining social order,"Ensuring equal access to services,Building community solidarity","Ensuring equal access to services,Protecting individual rights","Protecting individual rights,Promoting economic competition","Protecting individual rights,Promoting economic competition","Maintaining social order,Promoting economic competition","Building community solidarity,Protecting individual rights"
Government support for underrepresented groups should be...,general,support_3,Additional,FALSE,,,,,3,3,2,1,1,2
Success should be measured by...,general,binary_choice,Additional,FALSE,Collective goals,Individual success,,,,Collective goals,Collective goals,Individual success,Individual success,Individual success,Collective goals
