Contest,question No.,Question,Response 1,Response 2,Response 3,Response 4,Response 5
governor,1,How should Colorado solve the issue of providing more affordable housing?,Use rent control to stabilize prices,Use tax money to subsidize affordable housing,Improve permitting/zoning to allow for more housing to be built,??,other
schools and ed,2,What is the top way that Colorado's K-12 schools could be improved?,Use state money to providev ouchers for private schools,More public charter schools,More taxpayer money to reduce class sizes,??,other
homelessness,3,What is the best way to reduce homelessness in Colorado?,Spend more money to house people first then address the issues that lead to their situation including substance abuse treatment and employment,"Take a ""work first"" approach, providing housing if people stay sober, participate in job training and get work",Provide more money for temporary and emergency shelters,Bus homeless people to the locale of their choice,other
immigration,4,How should the state deal with undocumented migrants?,Make it easier for them get work permits and housing,Allow state and local law enforcement to cooperate with ICE to deport the undocumented,Require Colorado businesses to participate in the federal e-verify program to validate the documentation of their workers,??,other
cost of living,5,How can state government help alleviate the high cost of living?,"Cut taxes and fees, and reduce government spending","Implement a graduated income tax, with the wealthy paying a higher share and the lowest income paying the lowest rate",Implement cost controls for essentials such as food and fuel,??,other
public safety/crime,6,How can Colorado improve public safety in the state?,Increase penalties for crime,Hire more law enforcement officers,Improve opportunities and activities for young people,??,other
TABOR,7,"Should the legislature ask voters to repeal the Taxpayers Bill of Rights, which prevents them from raising taxes?",yes,no,,,
,8,,yes,no,,,
,9,,yes,no,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Source of questions: https://copollinginstitute.org/poll/2025-03-statewide-poll/,,,,,,,
